id_comuna;rango_edad;hombres;mujeres
13101;1;56052;52710
13101;2;139082;126632
13101;3;11544;18475
13102;1;15157;14108
13102;2;20588;21370
13102;3;3886;5723
13103;1;24034;23466
13103;2;34495;34230
13103;3;6909;9488
13104;1;21692;20977
13104;2;33205;33629
13104;3;6980;10472
13105;1;29624;28473
13105;2;41551;42987
13105;3;8197;11673
13106;1;23760;22721
13106;2;42733;40423
13106;3;6965;10439
13107;1;19289;18753
13107;2;24895;26321
13107;3;3938;5475
13108;1;16361;15666
13108;2;28552;28697
13108;3;4273;6732
13109;1;14597;14167
13109;2;23444;24966
13109;3;5106;7839
13110;1;61674;59434
13110;2;94642;104076
13110;3;19377;27713
13111;1;20760;19898
13111;2;30432;31571
13111;3;5833;8077
13112;1;35608;35349
13112;2;44290;45880
13112;3;7146;9062
13113;1;15640;14861
13113;2;22399;26063
13113;3;5560;8264
13114;1;44359;43334
13114;2;73704;87430
13114;3;17854;28157
13115;1;21935;21527
13115;2;25018;29327
13115;3;3547;4479
13116;1;17879;17225
13116;2;26570;25564
13116;3;4697;6869
13117;1;16231;15799
13117;2;24868;25343
13117;3;5700;8308
13118;1;18148;17504
13118;2;30401;33353
13118;3;6612;10516
13119;1;95010;90888
13119;2;135669;151050
13119;3;20113;28897
13120;1;27858;27417
13120;2;56831;65722
13120;3;10720;19689
13121;1;16862;15950
13121;2;26949;27033
13121;3;5702;8678
13122;1;45037;44051
13122;2;61522;66067
13122;3;10323;14599
13123;1;16985;16859
13123;2;40675;45297
13123;3;8050;14213
13124;1;43385;41379
13124;2;60958;65033
13124;3;8069;11469
13125;1;42690;41330
13125;2;56063;58883
13125;3;4703;6741
13126;1;18359;17411
13126;2;29524;30454
13126;3;5786;8492
13127;1;26776;25500
13127;2;42930;42830
13127;3;8003;11812
13128;1;28500;27097
13128;2;37945;38873
13128;3;6236;8500
13129;1;15637;14772
13129;2;24576;25521
13129;3;5618;8368
13130;1;15970;15806
13130;2;29591;32796
13130;3;5177;8614
13131;1;14833;14022
13131;2;21050;20883
13131;3;4990;7122
13132;1;13437;13456
13132;2;18909;24549
13132;3;6056;8977
13201;1;110242;106312
13201;2;147034;161030
13201;3;17871;25617
13202;1;4857;4650
13202;2;7243;7094
13202;3;1329;1348
13203;1;2945;2727
13203;2;5994;4520
13203;3;922;1081
13301;1;31462;29127
13301;2;39127;37770
13301;3;4046;4675
13302;1;21513;20525
13302;2;27206;26839
13302;3;2826;3125
13303;1;3762;3350
13303;2;5248;4943
13303;3;1037;972
13401;1;60059;57858
13401;2;76601;80672
13401;3;11140;14983
13402;1;18360;17727
13402;2;25493;26581
13402;3;3722;4731
13403;1;4858;4556
13403;2;6709;6877
13403;3;1151;1241
13404;1;13793;13348
13404;2;19289;19245
13404;3;3439;3645
13501;1;22588;21841
13501;2;32154;32781
13501;3;6668;7595
13502;1;1057;967
13502;2;2107;1601
13502;3;352;360
13503;1;5834;5633
13503;2;8531;8712
13503;3;1857;2012
13504;1;2362;2372
13504;2;3676;3621
13504;3;792;767
13505;1;1651;1600
13505;2;2742;2343
13505;3;739;651
13601;1;14136;13412
13601;2;19498;20009
13601;3;3135;4047
13602;1;6892;6697
13602;2;9258;9422
13602;3;1643;2011
13603;1;6853;6626
13603;2;9451;9592
13603;3;1747;1950
13604;1;12167;11620
13604;2;16738;17129
13604;3;2547;3049
13605;1;17304;16679
13605;2;22720;24546
13605;3;3920;5032